V983412,Enrico,Bonaspetti,Piazza Duca d'Aosta - Milano,00393279955305,bonaspetti@gmail.com,16%
V189472,Werner,Shultz,Metternichgasse 13 - 1030 Wien,00431236754344,shultz.werner@gmail.com,10%
V345123,Kevin,McDonald,26/30 Upper Abbey St. - Dublin 1,0035313441111,kevinMcd@gmail.com,16%
V973853,Irvin,Scotti,Via Vittorio Emanuele 100 - Torino,00393206789123,irvin@gmail.com,5%
V734950,Barbara,Pace,Via della Cattedrale 3 - Roma,00393737404773,barbarapace@gmail.com,16%
V198853,Alessia,Caruso,Rondò Garibaldi 94 - Catania,00393400545552,caruso.alessia12@gmail.com,10%
V976209,Antonio,Forero,Largo Giulio Cesare - Torino,00393278890304,antonio.forero@gmail.com,5%
V98179,Edgar,Walker,361 Maple st. Brooklyn NY - USA,0013767536209,Edgar.walker@gmail.com,16%
V437147,Sarah,Baricco,Via Borgonuovo 55 - Milano,00393200823360,sarah@gmail.com,16%
V197587,Elizabeth,Carter,28 Green St. suite 14 - Upstate 10947 NY,00145673452,lizzyc@gmail.com,10%
V819224,Michelle,Bennet,33 rue de Rivoli - 75004 Paris,00330689370466,michelleb@gmail.com,5%
V659917,Jennifer,Smith,169 Church Road - New York,0012340506488,jennysmith@gmail.com,16%
V824691,Paul,Evans,15 New Burlington Place - London SW1,00443312096679,paulevans@gmail.com,5%
V47723,Luigi,Stefani,Corso Dante Alighieri 50 - Firenze,00393911392239,stef.luigi@gmail.com,16%
V614845,Roberta,Finotello,Via Ezio Pepino 6 - Borgo San Dalmazzo,00393398852703,robertafinotello@gmail.com,5%
V987654,Mario,Rossi,Via Roma 1 - Bergamo,00393485422660,mario.rossi@gmail.com,5%
V123456,Irene,Bianchi,Via Garibaldi 2 - Roma,00393397787323,bianchi.irene@gmail.com,10%
V234567,Elisa,Verdi,Via Marconi 3 - Treviso,00393315678834,elisa.v@gmail.com,16%
V695235,Filippo,Verdi,Corso Giolitti 12 - Genova,00393482367606,filippoverdi@gmail.com,16%
V210723,Angelo,Cigalini,Via Italo Rossi 20 - Torino,00393458973456,angelo.cigalini@gmail.com,16%
V703594,Marco,Ribero,Corso Matteotti 38 - Milano,00393912394449,marco.rbr@gmail.com,10%
V243616,Roberta,Fino,Via Roma 15 - 12100 Cuneo,00393397742604,fino.rr@gmail.com,16%
V841298,Anna,Roberts,85 Hope Road London UK,00442724567778,roberts.anna@gmail.com,5%
V930282,Jessica,Foster,61 Old Compton Street - London SW12AA,00443450702234,Jessica.f@gmail.com,10%
V995326,Andrew,Cox,70 Mark Lane - London WC1,00443312456780,andrewcox@gmail.com,16%
V671869,Louis,Phillips,139 Highgate Road - London EC1,00444567899876,Louisph@gmail.com,5%
V186128,Ernesto,Vitali,Via Spallanzani 190 - Milano,00393312053469,ernesto.vitali@gmail.com,10%
V982269,Barbara,Bolle,Via Cavour 5 - Genova,00393480706223,barbara@gmail.com,5%
